hadith-eng;reference;question #;question
The mushrikeen used not to move on from Jam' (Muzdalifah) until the sun rose over (the mountain of) Thabeer, The Prophet ﷺ differed from them and moved on before the sun rose.;Musnad Ahmad 200, Book 2, Hadith 117;question #2;How does the timing of moving from Muzdalifah reflect the Prophet's guidance in Hajj rituals?
Umar bin al-Khattab told me that he heard the Messenger of Allah ﷺ say: “I shall certainly expel the Jews and Christians from the Arabian Peninsula so that I will not leave anyone but Muslims.`;Musnad Ahmad 201, Book 2, Hadith 118;question #2;What actions did Umar bin al-Khattab report hearing from the Prophet ﷺ concerning non-Muslims in the Arabian Peninsula?
What time is this? He said: I was busy today and I did not go back to my family when I heard the call to prayer, so I did no more than doing wudoo’. ʼUmar said: Just wudooʼ, when you know that the Messenger of Allah (ﷺ) used to enjoin ghus!?;Musnad Ahmad 202, Book 2, Hadith 119;question #2;How did the companions of the Prophet (ﷺ) respond to the call to prayer on Fridays?
Umar bin al-Khattab told me: On the day of Khaibar, a group of the companions of the Prophet ﷺ  came and said: So and so has been martyred. So and so has been martyred, until they came to a man and said, So and so has been martyred, but the Messenger of Allah (ﷺ)  said: “No, I saw him in the Fire because of a cloak or 'aba'ah that he stole from the war booty.” Then the Messenger of Allah ﷺ  said: “O son of al-Khattab, go and call out to the people that no one will enter Paradise except the believers.” So I went out and called to them, saying: `No one will enter Paradise except the believers.”;Musnad Ahmad 203, Book 2, Hadith 120;question #2;What are the consequences of stealing from war booty in Islam?
"When I came to Madinah, sickness was occurring in the city and they were dying quickly. I sat with 'Umar bin al Khattab (رضي الله عنه) and a funeral passed by, Good things were said about (the deceased) and ‘Umar (رضي الله عنه) said: It is due. Then another (funeral) passed by; good things were said about (the deceased) and he said: It is due. Then a third funeral passed by: bad things were said about the deceased and ‘Umar said: It is due. I said: What is due, O Ameer al Mu'mineen? He said: I said what the Messenger of Allah (ﷺ) said: `Any Muslim in whose favour four people testify, Allah will admit him to Paradise.` We said: Or three? He said: “Or three.` We said: Or two? He said: `Or two.” Then we did not ask him about one,";Musnad Ahmad 204, Book 2, Hadith 121;question #2;How does the testimony of others influence the judgment of a deceased person's character?
Umar bin al Khattab heard the Messenger of Allah (ﷺ) say: `If you were to put your trust in Allah as you should, you would be given provision like the birds: they go out hungry in the morning and come back with full bellies in the evening.”;Musnad Ahmad 205, Book 2, Hadith 122;question #2;How does trusting in Allah relate to receiving provision and sustenance?
“Do not sit with the people who deny al-­qadar, or initiate any discussion with them.` 'AbdurRahman said on one occasion: I heard the Messenger of Allah (ﷺ) say.....;Musnad Ahmad 206, Book 2, Hadith 123;question #2;Why might it be advised to avoid sitting with people who reject certain Islamic beliefs?
I am only doing what I saw the Messenger of Allah (ﷺ) do.;Musnad Ahmad 207, Book 2, Hadith 124;question #2;Why might a companion of the Prophet choose to emulate his actions during prayer?
"On the day of Badr, the Messenger of Allah (ﷺ) looked at his companions and they were three hundred and some, then he looked at the mushrikeen and saw that they were one thousand or more. The Prophet of Allah(ﷺ) turned to face the qiblah, then he stretched forth his hands, wearing his upper and lower garment, and he said: “O Allah, where is Your promise to me? O Allah, accomplish for me what You have promised me! O Allah, if this small band of Muslims is destroyed, You will never be worshipped on earth.” He kept beseeching his Lord, calling out to Him, until his upper garment fell from his shoulders. Abu Bakr came to him, picked up his upper garment and put it on him. Then he embraced him from behind and said: O Prophet of Allah, this prayer of yours to your Lord will suffice, for He will accomplish for you what He has promised to you. Then Allah revealed the words: `(Remember) when you sought help of your Lord and He answered you (saying): ‘I will help you with a thousand of the angels each behind the other (following one another) in succession` [al Anfal 8:9). On that day when the armies met (in battle), Allah, may He be glorified and exalted, defeated the mushrikeen; seventy of their men were killed and seventy were taken captive. The Messenger of Allah (ﷺ) consulted Abu Bakr, 'Ali and 'Umar رضي الله عنهم (concerning the prisoners). Abu Bakr said: O Prophet of Allah, they are our cousins, kinsmen and brothers, I think that you should accept a ransom for them, which will strengthen us against the kuffar, and perhaps Allah will guide them to Islam and they will become a support to us. The Messenger of Allah (ﷺ)  said: “What do you think, O son of al-Khattab?` I said: No, by Allah. I do not think as Abu Bakr thinks. I think that you should hand. So and so ­ a relative of ʼUmar's- ­ over 
to me so that I may strike his neck. You should hand ‘Aqeel over to ‘Ali so that he may strike his neck, and you should hand over So and so to Hamzah (his brother) so that he may strike his neck, so that Allah will know that we have no mercy in our hearts towards the mushrikeen; these are 
their prominent figures and leaders. But the Messenger of Allah (ﷺ)  inclined towards the view of Abu Bakr, and he did not incline towards what I said, and accepted ransoms from them. The next day, I came to the Prophet (ﷺ) and found him with Abu Bakr, and they were both weeping I said: O Messenger of Allah , tell me why you and your companion are weeping. If I find it is a cause for weeping, I will weep too, and is it is not, then I will make myself weep with you. The Messenger of Allah (ﷺ) said: `I am weeping because of what your companions suggested about accepting a ransom for the prisoners. I have been shown your punishment as close as this tree` ­ a tree that was close to the Prophet of Allah (ﷺ) Then Allah revealed the words:`It is not for a Prophet that he should have prisoners of war (and free them with ransom) until he had made a great slaughter (among his enemies) in the land. You desire the good of this world (i.e. the money of ransom for freeing the captives), but Allah desires (for you) the Hereafter. And Allah is Almighty, All Wise. Were it not a previous ordainment from Allah, a severe torment would have touched you for what you took `[al Anfal 8:67­-68] ­ i.e., referring to the ransom. Then booty was permitted to them, and when the day of Uhud came the following year, they were punished for what they had done of taking the 
ransom on the day of Badr. Seventy of them were killed and the Companions of the Prophet deserted him, his front tooth was broken and the helmet on his head was broken, and blood flowed down his face, and Allah revealed the words: “When a single disaster smites you, although you smote (your enemies) with one twice as great, you say: 'From where does this come to us?`Say (to them), ‘It is from yourselves (because of your evil deeds).' And Allah has power over all things” [Al 'Imran 3:165]";Musnad Ahmad 208, Book 2, Hadith 125;question #2;How did the Prophet Muhammad (ﷺ) demonstrate reliance on Allah during the Battle of Badr?
"We were with the Messenger of Allah (ﷺ)  on a journey, and I asked him about something three times but he did not answer me. I said to myself, May 
your mother be bereft of you. O son of al-Khattab, you spoke to the Messenger of Allah (ﷺ) three times and he did not answer you. So I got on my mount and went on ahead, fearing that something had been revealed concerning me. Then I heard someone calling out: O 'Umar! Where is ‘Umar? I went back, thinking that something had been revealed concerning me, and the Prophet (ﷺ) said: `Yesterday a soorah was revealed to me that is dearer to me than this world and everything in it: ‘Verily, We have given you (O Muhammad ﷺ) a manifest victory. That Atlah may forgive you your sins of the past and the future' (al­-Fath 48:1–2].";Musnad Ahmad 209, Book 2, Hadith 126;question #2;How did the revelation of a specific soorah impact the Prophet Muhammad (ﷺ) emotionally and spiritually?
"Some food was brought to 'Umar bin al-Khattab and he called a man to join him, but he said, I am fasting. ['Umar] said: What fast are you observing? Were it not for fear of adding or subtracting something, I would have narrated to you a hadeeth, from the Prophet (ﷺ), when the Bedouin brought him a rabbit; rather send for 'Ammar. When  'Ammar came, he said: Were you there on the day when the Bedouin brought the rabbit to the Messenger of Allah (ﷺ)? ('Ammar) said: Yes. ('Umar] said: I saw blood on it, but he (the Prophet (ﷺ) said: `Eat it.` (The Bedouin) said: I am fasting. (The Prophet (ﷺ) said: `What fast are you observing?” He said: The beginning and end of the month. He said: “If you want to fast, then fast the thirteenth, fourteenth and fifteenth (of the month).`";Musnad Ahmad 210, Book 2, Hadith 127;question #2;How did the Prophet Muhammad (ﷺ) respond to the Bedouin's fasting practice?
"I met 'Umar bin al­-Khattab and he said: Who are you? I said: Masrooq bin al­-Ajda'. 'Umar said: I heard the Messenger of Allah (ﷺ)  saying, `Al-
Ajda' is a devil [i.e. the word Al-­Ajda' has a bad meaning]; rather you are Masrooq bin ‘Abdur-Rahman. 'Amir said: I saw his name written in the Deewan; Masrooq bin ‘Abdur-­Rahman. I said: What is this? He said. This is what ‘Umar رضي الله عنه  called me.";Musnad Ahmad 211, Book 2, Hadith 128;question #2;How did 'Umar bin al-Khattab demonstrate his influence in changing a person's name?
It was narrated from ʼUmar bin al-Khattab that the Prophet (ﷺ) forbade 'azl (coitus interruptus) with a free woman, except with her permission.;Musnad Ahmad 212, Book 2, Hadith 129;question #2;How does Islam address the practice of 'azl (coitus interruptus) in marriage?
I heard ‘Umar say: If I live until next year, no city will be conquered but I shall divide it among them (the troops) as the Messenger of Allah (ﷺ) divided Khaibar.;Musnad Ahmad 213, Book 2, Hadith 130;question #2;How did the Messenger of Allah (ﷺ) divide Khaibar among the troops?
I was with the Prophet (ﷺ) on a campaign, and I swore (an oath), No, by my father! A man called out from behind me: “Do not swear by your fathers.” And I saw that it was the Prophet (ﷺ).;Musnad Ahmad 214, Book 2, Hadith 131;question #2;Why is it important to be cautious about the words we use when making oaths?
If I live, in sha Allah, I shall certainly expel the Jews and Christians from the Arabian Peninsula.;Musnad Ahmad 215, Book 2, Hadith 132;question #2;What actions did 'Umar plan to take concerning non-Muslims in the Arabian Peninsula?
I saw the Messenger of Allah (ﷺ)  wiping over his leather slippers (when doing wudoo’).;Musnad Ahmad 216, Book 2, Hadith 133;question #2;How did the Prophet Muhammad (ﷺ) perform wudoo' with regard to footwear?
I heard 'Umar giving a khutbah, and he said: The Messenger of Allah (ﷺ) built this mosque and we, the Muhajireen and Ansar, were with him. If it gets too crowded, then let one of you prostrate on his brother's back. And he saw people (on one occasion) praying in the street and said: Pray in the mosque,;Musnad Ahmad 217, Book 2, Hadith 134;question #2;How did the Muhajireen and Ansar contribute to the building of the mosque?
"O Ameer al-Mu'mineen, we have acquired slaves and mounts, so take charity from our wealth in order to purify us thereby, and it will be zakah for us. He said: This is something that the two who came before me did not do; I shall wait until I ask the Muslims.";Musnad Ahmad 218, Book 2, Hadith 135;question #2;How did the companions of the Prophet approach the concept of charity and purification of wealth?
The Messenger of Allah (ﷺ)  said: “If I live, I shall certainly expel the Jews and Christians from the Arabian Peninsula, until I leave only Muslims there.”;Musnad Ahmad 219, Book 2, Hadith 136;question #2;How did the Prophet Muhammad (ﷺ) envision the religious composition of the Arabian Peninsula?
My father attributed it to the Prophet (ﷺ) - that he said: `Whoever misses any part of his regular portion of Qur'an or prayer at night, and recites it between Fajr and Zuhr, it will be as if he recited it that night.”;Musnad Ahmad 220, Book 2, Hadith 137;question #2;How can one compensate for missing their regular night prayers or Qur'an recitation?
On the day of Badr, the Messenger of Allah (ﷺ) looked at his companions and they were three hundred and some, then he looked at the mushrikeen and saw that they were one thousand or more. The Prophet of Allah (ﷺ) turned to face the qiblah, then he stretched forth his hands, wearing his upper and lower garment, and he said: “O Allah, where is Your promise to me? O Allah, accomplish for me what You have promised me! O Allah, if this small band of Muslims is destroyed, You will never be worshiped on earth.” He kept beseeching his Lord, calling out to Him, until his upper garment fell from his shoulders. Abu Bakr came to him, picked up his upper garment and put it back on him. Then he embraced him from behind and said, “O Prophet of Allah, this prayer of yours to your Lord will suffice, for He will accomplish for you what He has promised to you.” Then Allah revealed the words: “(Remember) when you sought help of your Lord and He answered you (saying): ‘I will help you with a thousand of the angels each behind the other (following one another) in succession’” (al-Anfal 8:9). On that day when the armies met (in battle), Allah, may He be glorified and exalted, caused the mushrikeen to be defeated, seventy of their men were killed and seventy were taken captive. The Messenger of Allah (ﷺ) consulted Abu Bakr, ‘Ali and ʼUmar (concerning the prisoners). Abu Bakr said, “O Prophet of Allah, they are our cousins, kinsmen and brothers. I think that you should accept a ransom for them, which will strengthen us against the kuffar, and perhaps Allah will guide them to Islam and they will become a support to us.” The Messenger of Allah (ﷺ) said, “What do you think, O son of al-Khattab?” I said: No, by Allah. I do not think as Abu Bakr thinks. I think that you should hand so and so—a relative of ‘Umar's—to me so that I may strike his neck, You should hand ‘Aqeel over to ‘Ali so that he may strike his neck, and you should hand over so and so to Hamzah (his brother) so that he may strike his neck, so that Allah will know that we have no mercy in our hearts towards the mushrikeen; these are their prominent figures and leaders. But the Messenger of Allah (ﷺ) inclined towards the view of Abu Bakr, and he did not incline towards what I said, and accepted ransoms from them. The next day. I came to the Prophet (ﷺ) and found him with Abu Bakr, and they were both weeping. I said, “O Messenger of Allah, tell me why you and your companion are weeping. If I find it is a cause for weeping. I will weep too, and if it is not, then I will make myself weep with you.” The Messenger of Allah (ﷺ) said, “I am weeping because of what your companions suggested about accepting a ransom for the prisoners. I have been shown your punishment as close as this tree”—a tree that was close to the Prophet of Allah (ﷺ). Then Allah revealed the words: “It is not for a Prophet that he should have prisoners of war (and free them with ransom) until he had made a great slaughter (among his enemies) in the land. You desire the good of this world (i.e. the money of ransom for freeing the captives), but Allah desires (for you) the Hereafter, And Allah is All-Mighty, All-Wise. Were it not a previous ordainment from Allah, a severe torment would have touched you for what you took.” [al-Anfal 8:67-68] i.e., referring to the ransom. Then booty was permitted to them, and when the day of Uhud came the following year, they were punished for what they had done for taking the ransom on the day of Badr. Seventy of them were killed and the Companions of the Prophet deserted him; his front tooth was broken and the helmet on his head was broken, and blood flowed down his face, and Allah revealed the words: “When a single disaster smites you, although you smote (your enemies) with one twice as great, you say: ‘From where does this come to us?’ Say (to them), ‘It is from yourselves (because of your evil deeds).’ And Allah has power over all things” [Al ‘Imran 3:165];Musnad Ahmad 221, Book 2, Hadith 138;question #2;How did the Prophet Muhammad (ﷺ) demonstrate reliance on Allah during the Battle of Badr?
"I was eager to ask 'Umar about the two wives of the Prophet (ﷺ) concerning whom Allah said, “If you two (wives of the Prophet (ﷺ) turn in repentance
to Allah, (it will be better for you), your hearts are indeed so inclined (to oppose what the Prophet (ﷺ) likes)” [at-Tahreem 66:4], until 'Umar went for Hajj and I went with him. When we were partway there, 'Umar turned aside and I turned aside with him, bringing the jug. He relieved himself, then he came to me and I poured water onto his hands, and he did wudoo’. I said: “O Ameer al -Mu'mineen, who are the two wives of the Prophet (ﷺ) of whom Allah said: ‘If you two (wives of the Prophet (ﷺ)) turn in repentance to Allah, (it will be better for you), your hearts are indeed so inclined (to oppose what the Prophet (ﷺ) likes)’?” [at-Tahreem 66:4] 'Umar said, “How strange of you, O Ibn  'Abbas”, (az-Zuhri said: By Allah, he did not like the question, but he did not conceal anything.) He said, “They were Hafsah and 'A'ishah.” Then he started to narrate the hadeeth and said: We people of Quraish were a people who dominated women, but when we came to Madinah we found a people who were dominated by their women, and our women started to learn from their women. My house was among Banu Umayyah bin Zaid in al-'Awali. One day I got angry with my wife, and she argued with me. I did not like her to argue with me, but she said: Do you not like me to argue with you? By Allah, the wives of the Prophet (ﷺ) argue with him, and one of them will forsake him all day until night comes, I went and entered upon Hafsah, and I said: Do
you argue with the Messenger of Allah (ﷺ)? She said: Yes. I said: Does one of you forsake him all day until night comes? She said: Yes. I said: Any one of you who does that is doomed and lost. Does any one of you feel assured that Allah will not be angry with her because of the anger of His
Messenger (ﷺ), for then she will be doomed? Do not argue with the Messenger of Allah (ﷺ) and do not ask him for anything. Ask me for whatever you want. And do not be misled by the fact that your neighbour is more beautiful than you and more beloved to the Messenger of Allah (ﷺ) than
you – referring to 'A'ishah. And ‘Umar said: I had a neighbour among the Ansar. We used to take turns to go down to the Messenger of Allah (ﷺ). He would go down one day and I would go down the next. He would bring me the news of the Revelation and other things, and I would do likewise.
We were saying that Ghassan were shoeing their horses to attack us. My friend went down, then he came to me at night and knocked on my door, then he called out to me. I went out to him and he said: Something terrible has happened! I said: What? Have Ghassan come? He said: No, it is more terrible than that and worse. The Prophet (ﷺ) has divorced his wives! I said: Hafsah is doomed and lost! I thought that this would happen. Then when I had prayed Fajr, I got dressed, then I went down and entered upon Hafsah, who was weeping. I said: Has the Messenger of Allah (ﷺ)divorced you? She said: I do not know. He has secluded himself in this loft. I went to a black slave of his and said: Ask for permission for ‘Umar to enter. He went in, then he came out to me and said: I mentioned you to him but he did not say anything, I went away and came to the minbar, where I sat down. By it was a group of people, some of whom were weeping. I sat for a little while, then I could not bear it any longer, so I went to the slave and said: Ask for permission for ‘Umar to enter. He went in, then he came out to me and said: I mentioned you to him but he did not say anything. I turned to leave, then the slave called me and said: Go in, he has given you permission. So I went in and greeted the Messenger of Allah (ﷺ) with salam. He was resting on a reed mat that had left marks on his side. I said: O Messenger of Allah, have you divorced your wives? He looked up at me and said, “No.” I said: Allah Akbar! if you had seen us, O Messenger of Allah, we Quraish were a people who dominated women, but when we came to Madinah we found a people who were dominated by their women, and our women started to learn from their women. I got angry with my wife one day, and she started to argue with me. I did not like her to argue with me, but she said: Do you not like me to argue with you? By Allah, the wives of the Prophet (ﷺ) argue with him, and one of them will forsake him all day until night comes. I said: Any one of them who does that is doomed and lost. Does one of them feel assured that Allah will not be angry with her because of the anger of His Messenger (ﷺ),then she will be doomed? The Messenger of Allah (ﷺ) smiled. I said: O Messenger of Allah, I entered upon Hafsah and I said: Do not be misled by the fact that your neighbour (i.e. ‘Aa'ishah) is more beautiful than you and more beloved to the Messenger of Allah (ﷺ) than you. The Messenger of Allah (ﷺ) smiled again. I said: O Messenger of Allah, may I speak to you freely? He said: “Yes.” So I sat down and looked around the room, and by Allah, I did not see anything in it to please the eye except three hides. I said: Pray to Allah, O Messenger of Allah, to make life prosperous for your ummah, for He has made life prosperous for the Persians and Romans, but they do not worship Allah, may He be glorified and exalted. He sat up straight and said: “Are you doubting. O son of al-Khattab? They are people whose good things have been hastened for them in this world.” I said: Pray for forgiveness for me, O Messenger of Allah. He had sworn that he would not enter upon them for a month, because he was so annoyed with them until Allah rebuked him.";Musnad Ahmad 222, Book 2, Hadith 139;question #2;How did the cultural differences between the people of Quraish and the people of Madinah affect marital relationships?
l heard 'Umar bin al-Khattab say: When the Revelation came down to the Messenger of Allah (ﷺ), a sound could be heard near his face like the buzzing of bees. We waited a while, then he turned to face the qiblah and raised his hands, then he said: “O Allah, give us more (blessing) and do not give us less; honour us and do not humiliate us, give to us and do not deprive us, give precedence to us and do not give others precedence over us; be pleased with us and make us pleased.” Then he said: “Ten verses have been revealed to me; whoever adheres to thern will enter Paradise.” Then he recited to us: “Successful indeed are the believers” [al-Mu'minoon 23:1] until he completed the ten verses.;Musnad Ahmad 223, Book 2, Hadith 140;question #2;What supplications did the Prophet Muhammad (ﷺ) make after receiving Revelation?
O people, the Messenger of Allah (ﷺ) forbade fasting on these two days (i.e., the two Eids). On the first of them you break your fast and celebrate your festival, and on the second you eat from the meat of your sacrifices.It was narrated that Sa'd Abu 'Ubaid, the freed slave of ‘Abdur-Rahman bin Azhar, said: I was present at Eid with 'Umar bin al Khattab... and he mentioned a similar hadeeth.;Musnad Ahmad 224, 225, Book 2, Hadith 141;question #2;Why is fasting prohibited on the two Eid days in Islam?
I know that you are only a stone. Were it not that I saw the Messenger of Allah (ﷺ) kiss you, I would not have kissed you.;Musnad Ahmad 226, Book 2, Hadith 142;question #2;How does the practice of kissing the Black Stone reflect the importance of tradition in Islam?
Start with Hajj. So he went to al-Ash'ari, who told him to enter ihram for Hajj and ‘Umrah together. So he did that, and whilst he was reciting the Talbiyah,Zaid bin Soohan and Salman bin Rabee'ah passed by him, and one of them said to the other. This one is more misguided than his family's camel. As-Subayy heard them and that upset him. When he arrived he went to 'Umar and told him about that, 'Umar رضي الله عنه   said to him: You have been guided to the Sunnah of your Prophet (ﷺ). He [the narrator] said: On another occasion I heard him say: You have been helped to follow the Sunnah of the Prophet.;Musnad Ahmad 227, Book 2, Hadith 143;question #2;How does entering ihram for Hajj and ‘Umrah together relate to following the Sunnah of the Prophet?
The Messenger of Allah (ﷺ) was staying up late one night with Abu Bakr, discussing some issue of the Muslims, and I was with him.;Musnad Ahmad 228, Book 2, Hadith 144;question #2;How does staying up late for important discussions reflect on the dedication of Islamic leaders?
"I saw the bald one, meaning 'Umar (رضي الله عنه), kiss the [Black) Stone and say: I am kissing you and I know that you are only a stone and cannot bring any
benefit or ward off any harm, were it not that I saw the Messenger of Allah رضي الله عنه kiss you, I would not have kissed you,";Musnad Ahmad 229, Book 2, Hadith 145;question #2;How does the act of kissing the Black Stone reflect the concept of following prophetic traditions in Islam?
] I said: O Messenger of Allah, can one of us go to sleep when he is junub? He said: “Yes, if he does wudoo'.”;Musnad Ahmad 230, Book 2, Hadith 146;question #2;What is the significance of performing wudoo' before sleeping for someone who is junub?
The Messenger of Allah (ﷺ)  said:“When night comes and day departs, and the sun sets, then (it is time to) break your fast.`;Musnad Ahmad 231, Book 2, Hadith 147;question #2;How does the transition from day to night affect the daily practices of fasting Muslims?
Whom have you appointed as your deputy over the people of the valley? He said: I have appointed Ibn Abza over them, ‘Umar said: Who is Ibn Abza? Nafiʼ said: One of our freed slaves. ‘Umar said: Have you appointed a freed slave over them? Nafi’ said: He has great knowledge of the Book of Allah, is well versed in the rules of inheritance (al­-fara'id) and is a (good) qadi (judge). 'Umar said. Indeed your Prophet (ﷺ) said, “Allah raises some people (in status) by means of this Book and brings others low by means of it.”;Musnad Ahmad 232, Book 2, Hadith 148;question #2;How does knowledge of the Quran influence a person's status in society according to Islamic teachings?
‘Umar said to Abu ‘Ubaidah bin al­-Jarrah: Stretch out your hand so that I may give my allegiance to you, for I heard the Messenger of Allah (ﷺ) say: “You are the trustee of this ummah.” Abu ‘Ubaidah said: I will not put myself ahead of someone whom the Messenger of Allah (ﷺ) told to lead us in prayer and he led us in prayer until he [the Messenger of Allah (ﷺ)] died.;Musnad Ahmad 233, Book 2, Hadith 149;question #2;Why did ‘Umar consider giving allegiance to Abu ‘Ubaidah bin al-Jarrah?
"The Messenger of Allah (ﷺ) shared out (some wealth) and I said, ""By Allah, O Messenger of Allah, others deserved to have it more than these people."" He said: ""They gave me the choice of having them ask importunately or regard me as a miser, and I am not a
miser.""";Musnad Ahmad 234, Book 2, Hadith 150;question #2;How did the Prophet Muhammad (ﷺ) handle situations where people asked for wealth or resources?
Can one of us sleep if he is junub? He said: `Yes, if he does wudoo’ as for prayer.`It was narrated from Ibn `Umar that `Umar asked the Prophet (ﷺ)... a similar hadeeth.;Musnad Ahmad 235, 236, Book 2, Hadith 151;question #2;What should a person do before sleeping if they are in a state of janabah?
Ibn `Umar saw Sa`d bin Malik wiping over his leather slippers. Ibn ʼUmar said: Is it you doing this? Sa`d said: Yes. They both went to ‘Umar and Sa`d said to ‘Umar, Give my brother`s son a fatwa with regard to wiping over leather slippers. `Umar said, When we were with our Prophet (ﷺ) we used to wipe over our leather slippers. Ibn `Umar said: Even if that is after one has defecated and urinated? He said: Yes, even if that is after one has defecated and urinated. Nafiʼ said: After that, Ibn ‘Umar would wipe over them and not take them off, and he did not give a time limit for that. I told that to Ma`mar and he said: Ayyoob told me something similar from Nafi`.;Musnad Ahmad 237, Book 2, Hadith 152;question #2;How did the companions of the Prophet (ﷺ) practice wiping over leather slippers?
I exchanged some silver for gold with Talhah bin ‘Ubaidullah, and he said: Wait for me until our storekeeper comes from al-Ghabah, `Umar bin al-Khattab heard that and said: No, by Allah! Do not leave him until you take your exchange from him, for I heard the Messenger of  Allah (ﷺ) say: `Gold for silver is riba unless it is `here, take this` and `here, take this` [i.e., exchanged on the spot].”;Musnad Ahmad 238, Book 2, Hadith 153;question #2;Why is it important to conduct exchanges on the spot in Islamic transactions?
When the apostates apostatised at the time of Abu Bakr, ‘Umar said: How can you fight the people, O Abu Bakr, when the Messenger of Allah (ﷺ) said: “I have been commanded to fight the people until they say La ilaha illallah (There is no god but Allah), and whoever says La ilaha illallah, his wealth and his life are protected from me except in cases dictated by Islamic law, and his reckoning will be with Allah`? Abu Bakr said: By Allah, I will most certainly fight those who separate prayer and zakah, for zakah is what is due on wealth. By Allah, if they withhold from me a small she-goat that they used to give to the Messenger of Allah (ﷺ), I will certainly fight them for withholding it. `Umar bin al-Khattab said. By Allah, as soon as I saw that Allah had opened Abu Bakr`s heart to the idea of fighting, I knew that he was right.;Musnad Ahmad 239, Book 2, Hadith 154;question #2;How did Umar ibn al-Khattab initially react to Abu Bakr's decision to fight the apostates?
I was walking with a group of people during a campaign I went on with the Messenger of Allah (ﷺ) and I swore an oath, saying, No, by my father. A man behind me rebuked me for that and said: “Do not swear by your fathers,” I turned around and saw that it was the Messenger of Allah (ﷺ).;Musnad Ahmad 240, Book 2, Hadith 155;question #2;How did the Prophet Muhammad (ﷺ) correct the companions when they made mistakes?
The Messenger of Allah (ﷺ) heard me swearing an oath by my father and said: “Allah forbids you to swear by your fathers.” ‘Umar said: By Allah, I never swore by my father after that, whether saying it myself or narrating what someone else had said.;Musnad Ahmad 241, Book 2, Hadith 156;question #2;How did the Prophet Muhammad (ﷺ) respond to the practice of swearing by one's father?
The Messenger of Allah (ﷺ) granted a concession allowing silk the width of two fingers.;Musnad Ahmad 242, Book 2, Hadith 157;question #2;Under what circumstances is wearing silk permissible in Islam?
We were with `Utbah bin Farqad and `Umar رضي الله عنه wrote to him about things he narrated from the Prophet (ﷺ). Among the things he wrote was that the Messenger of Allah (ﷺ) said: `No one wears silk in this world except one who will not wear it in the Hereafter, except this much,` and he gestured with his two fingers, the forefinger and the middle finger. Abu `Uthman said: I thought this referred to the edging of the tayalisah (a shawl-like garment) when we first saw the tayalisah.;Musnad Ahmad 243, Book 2, Hadith 158;question #2;How does the prohibition of wearing silk relate to the concept of the Hereafter in Islam?
I said to `Umar bin al-Khattab. People are shortening the prayer today, and Allah says: “If you fear that the disbelievers may put you in trial (attack you)` [an-Nisa` 4:101). But that time [i.e., time of fear] has gone, He said: I wondered the same thing as you are wondering, and I asked the Messenger of Allah (ﷺ) about that. He said: `It is a charity that Allah has bestowed upon you, so accept His charity.”`Abdur-Razzaq told us, Ibn Juraij told us I heard `Abdur-Rahman bin ‘Abdullah bin Abi ‘Ammar narrate... and he mentioned [the same report].;Musnad Ahmad 244, 245, Book 2, Hadith 159;question #2;How does the concept of fear influence the practice of shortening prayers?
The last thing to be revealed was the verse on riba, but the Messenger of Allah (ﷺ) passed away and did not discuss it with us. So give up riba and doubtful things.;Musnad Ahmad 246, Book 2, Hadith 160;question #2;Why is it important to avoid riba and doubtful matters in Islam?
The Prophet (ﷺ) said: `The deceased is tormented in his grave because of the wailing for him.`;Musnad Ahmad 247, Book 2, Hadith 161;question #2;How does the behavior of the living affect the deceased in their grave?
The Prophet (ﷺ) said: “The deceased is tormented because of his family`s crying for him.”;Musnad Ahmad 248, Book 2, Hadith 162;question #2;How does the behavior of the living affect the deceased in Islam?
I heard Sa`eed bin al-Musayyab (say) that `Umar (رضي الله عنه ) said: Beware of neglecting the verse of stoning, lest someone say, We do not find two hadd punishments in the Book of Allah, for I saw the Prophet (ﷺ) stone [adulterers] and we stoned [adulterers] too.;Musnad Ahmad 249, Book 2, Hadith 163;question #2;Why is it important to remember and uphold certain punishments mentioned in Islamic teachings?
"`Umar said: My opinion coincided with that of my Lord in three matters and my Lord confirmed my opinion in three matters. I said: O Messenger of Allah (ﷺ), why don`t you take Maqam Ibraheem as a place of prayer? Then Allah revealed the words: “And take you (people) the Maqam (place) of Ibraheem (Abraham) [or the stone on which Ibraheem (Abraham) to stood while he was building the Ka`bah] as a place of prayer” [al-Baqarah 2:125]. And I said: O Messenger of Allah (ﷺ), both righteous and immoral people enter upon you; why don`t you tell the Mothers of the Believers to observe hijab? Then Allah revealed the verse of hijab. And I heard that the Prophet (ﷺ) had rebuked some of his wives, so I sought permission to speak to the Mothers of the Believers, then I entered upon them and said to each one of them: By Allah, either you stop, or Allah will give His Messenger (wives) who are better than you. I went to one of his wives and she said: O ‘Umar, don`t you think that the Messenger of Allah (ﷺ) is able to exhort his wives? Why are you exhorting them? Then Allah revealed the words. It may be if he divorced you (all) that his Lord will give him instead of you, wives better than you` [at-Tahreem 66:5]";Musnad Ahmad 250, Book 2, Hadith 164;question #2;What significance does the Maqam Ibraheem hold in Islamic prayer practices?
